key,english,draft,reviewer_edit,note
  2021 to 7 January 2026 it never saw. That is a well-built vehicle with no engine in it.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
dashboard.verdict.p2,"<strong>Why not:</strong> a $999 challenge buys one noisy binary outcome. Five years
  of holdout just said the entry logic has no measurable edge. At the 14% pass rate in FPFX Tech's data (SOURCED ·
  reported by Finance Magnates, published {published}, read {read}; <a href=""{L}/sources#fpfx_payouts"">Sources</a>),
  passing once barely updates whether you have an edge — plenty of edgeless traders pass.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep {L} {published} {read} exactly as written; keep the <…> tags and links as they are; translate only the words; keep every number exactly
dashboard.xref.h2,"What the research found, including where troid was wrong",,,"ENGLISH CHANGED: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
dashboard.xref.f1.h3,"1. A 5-tranche ladder holds less, not more",,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
dashboard.xref.f1.tag,measured on the sample,,,ENGLISH CHANGED: translate it in reviewer_edit | 
dashboard.xref.f1.p1,"At the same $500 risk, a 5-tranche <em>strength</em> ladder holds
    <strong>34% less</strong> quantity than a single entry (0.109 BTC against 0.167 BTC on a 1.5-ATR stop). Because the
    stop stays anchored at the first tranche's structure, each later tranche sits further from the stop and therefore
    gets less size.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
dashboard.xref.f2.h3,2. troid's income model assumed about three times the real trade frequency,,,"ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
dashboard.xref.f2.p1,"troid's income model (<code>income_math.py</code>) assumed 30 trades a month. The strategy
    produces <strong>10.1 a month</strong> (78 trades in 7.7 months), so each account earns about a third of what the
    model showed.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
dashboard.xref.f2.p2,"At 10.1 trades a month and 0.5% risk, $6,250 a month gross needs <strong>+1.24R per
    trade</strong> ($6,250 ÷ $500 ÷ 10.1), far above the +0.008R the strategy measured out of sample. Either the timeframe
    drops below 4h to trade more often, or the target needs more accounts.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
dashboard.xref.f3.h3,"3. The published statistics are generated, never written by hand",,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
dashboard.xref.f3.p1,"The results table was once written by hand, and it drifted from the engine after every change. It
    is now generated by <code>gen_results.py</code> from the engine on the frozen sample, and
    <code>verify_claims.py</code> re-derives the published statistics from <code>journal.csv</code> and fails if
    either drifts. The table below is that output.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words
dashboard.xref.f4.h3,4. The rollover trap needs two conditions at once,,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
dashboard.xref.f4.tag,measured on the sample,,,ENGLISH CHANGED: translate it in reviewer_edit | 
dashboard.xref.f4.p1,"Holding a position through the daily reset is often described as broadly dangerous.
    Measured over 72 rolling challenge starts for each of the 10 configurations, no position carried across a reset
    broke the $4,000 daily limit. The closest took uncapped 4% risk <em>and</em> a policy that holds losing positions
    through the reset together: a $3,448 floating loss against the $4,000 line. With troid's desk sizing the worst was
    $431; with its holding policy, which closes a losing position before the reset, none was carried.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
dashboard.xref.f5.h3,5. The reversal trigger moved to the stop-out; still one regime,,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
dashboard.xref.f5.p1,"Triggered on the third target, the reverse fired 5 times in 7.7 months, because only
    about 9% of trades reach it. Triggered on the stop-out, it fires 24 times in the 78-trade sample, which is a sample
    rather than an anecdote, but it is still one asset over one regime, and the holdout (1 January 2021 to 7 January
    2026) says the whole configuration is inside noise.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
dashboard.xref.f6.h3,6. Everything is public,,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
dashboard.xref.f6.p1,"Everything is in troid's public repository, <code>kunjancollective/troid</code>, and troid's ledger runs
    daily from <code>.github/workflows/shadow.yml</code>: fresh bars, replay, journal, ledger, commit. Each journal
    row is committed when it is logged, with its <code>logged_utc</code>, so the repository's history shows when
    every trade was recorded.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; troid stays lowercase, in Latin letters"
dashboard.xref.f7.h3,"7. Two known defects in troid's tools, not yet fixed",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
dashboard.xref.f7.p1,"In <code>income_math.py</code>, the option that keeps profits in the account reports no
    income by construction, because it counts only withdrawals, so it can't be compared with withdrawing. And
    <code>risk.py</code> reads <code>--json</code> only before its subcommand.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words
dashboard.variants.note,"Ladder direction, the side the tranches sit on with the same signals and stops, moves
  the results more than any other change in the table. Weakness at 5 tranches has the worst profit factor
  (0.14); strength at 5 with the reverse on the stop has the smallest drawdown (&minus;$1,058).",,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
dashboard.risk.h2,"Risk model: the firm's rules, the same whatever the strategy",,,ENGLISH CHANGED: translate it in reviewer_edit | 
dashboard.risk.p,"The budget cap is not conservatism: it is what makes the account survivable. At
  <strong>+0.35R</strong>, a genuinely excellent system, naive sizing at 1% blows the account <strong>68%</strong> of the
  time within a year, and at 2% it's 100%. Under the cap, every one of those cells is 0%.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
dashboard.change.li1,"<strong>Walk-forward comes back &gt;+0.10R out-of-sample</strong> with a stable
      parameter neighbourhood. This is the gate on everything else. <em>Run 21 Sep 2026
      on api.binance.us: the config was chosen on 2026; on the 504 BTC trades from
      1 January 2021 to 7 January 2026 it never saw, +0.008R, 95% CI [&minus;0.023R, +0.040R]. ETH, 498 trades:
      +0.008R. Not met (MEASURED: <a href=""https://github.com/kunjancollective/troid/blob/main/backtest/WALKFORWARD.md"">WALKFORWARD.md</a>).</em>",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
dashboard.change.li2,"<strong>Frequency reaches about 30 trades a month</strong>, the rate the income model
      assumed, which on this structure means dropping below the 4h timeframe.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
dashboard.change.li3,"<strong>Reverse moves to TP2 or stop-out</strong> so the exhaustion thesis gets a
      real sample instead of 5 trades. <em>Done: reverse-on-stop is the config, 24 reverse
      trades in the sample (RESULTS.md). It did not change the verdict.</em>",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
dashboard.next.h2,What troid is testing next,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
dashboard.next.p,"troid's own strategy has been tested on five years of data it never saw, and measures inside noise: no measurable edge. Next:",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
dashboard.next.li1,"A second strategy, <code>troid-shadow-2</code>, built separately so the first stays as it was: momentum over months, position size set by volatility, and the same loss limits and firm rules.",,,"NEW: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
dashboard.next.li2,"Both strategies across at least 10 assets, not only BTC. A rule that works on BTC alone was fitted to BTC.",,,NEW: translate it in reviewer_edit | keep every number exactly
dashboard.next.li3,"The same walk-forward test for both, reported side by side. If neither survives it, that is the finding, and troid says so.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
dashboard.next.li4,Whether troid ever trades a challenge with its own strategy waits on that result.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
dashboard.next.src,"Source: the work order, <a href=""https://github.com/kunjancollective/troid/blob/main/backtest/HANDOFF.md""><code>backtest/HANDOFF.md</code></a>.",,,"NEW: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; troid stays lowercase, in Latin letters"
dashboard.foot,"The sample: 1,539 4h bars, 8 Jan – 21 Sep 2026, api.binance.us (<code>backtest/data/btc_4h.csv</code>),
one asset, one regime. The holdout, 1 January 2021 to 7 January 2026 (<code>backtest/WALKFORWARD.md</code>), came back
inside noise on BTC and ETH.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
faq.og.title,troid — what the numbers actually say,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
faq.og.description,"Pass rates, costs, why accounts fail and how sizing decides survival, each figure with its tier.",,,NEW: translate it in reviewer_edit | 
faq.hero.updated,Last updated {date},,,ENGLISH CHANGED: translate it in reviewer_edit | keep {date} exactly as written
faq.pass.p1,"Data from FPFX Tech, a company that sells software to prop firms, reported by Finance Magnates in
September 2024, covers more than 300,000 accounts from 100,000 traders at 10 firms. <span class=""stat"">14%</span>
of those traders passed a challenge and reached a funded account. About 45% of them were then paid:
<span class=""stat"">7%</span> of all traders. The average payout was 4% of the account size.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
faq.cost.p1,"In the same data, an account spent an average of <span class=""stat"">$800</span> on challenge purchases
over its whole life, typically across three challenges.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
faq.cost.p2,"Put the numbers together: <span class=""flag"">93%</span> of the traders in that data were never paid, so for
them the fees were a loss. That is what the published figures say about those traders, not a forecast for anyone.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
faq.fail.p1,"One firm, OneFunded, has published its own figures: <span class=""stat"">93.7%</span> of its failed
evaluations ended on a loss limit — 78.7% on the daily loss limit, 15.0% on the overall maximum — and 6.3% on
inactivity and other rules. Its breaches cluster in the opening session and near the profit target, when traders
enlarge positions to reach it.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly
faq.fail.p2,"OneFunded's own reading of those figures: “The problem is not always the strategy. More often, it comes
down to risk management issues.”",,,ENGLISH CHANGED: translate it in reviewer_edit | 
faq.daily.p3,"On a fresh account that crossover is about $2,000 away — half of one day's loss limit. Size
against the smaller of the two, always.",,,ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly
faq.risk.p2,"troid simulated a trader with an edge of +0.35R per trade: 45% of trades won at 2:1. Risking 1% per
trade with no cap on remaining budget, that trader blew the account <span class=""stat"">68%</span> of the time within
twelve months. At 2%, <span class=""stat"">100%</span>: every simulated year. Capping each trade at a fraction of the
<em>remaining</em> budget rather than a fixed slice of the balance took all of those to
0%.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
faq.risk.src,"MODELLED: 20,000 simulated years of 30 trades a month, 45% won at 2:1, under a 4% daily limit fixed on the $100,000 start and a 6% static floor; the cap is 35% of the remaining budget a trade. True under these assumptions only. <a href=""https://github.com/kunjancollective/troid/blob/main/backtest/income_math.py"">income_math.py</a>",,,"NEW: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
faq.trust.p2,"<a href=""{L}/ledger"">troid's ledger</a> publishes its own results every four hours, losses included.
troid's own strategy tested out of sample at +0.008R over 504 trades (MEASURED:
<a href=""https://github.com/kunjancollective/troid/blob/main/backtest/WALKFORWARD.md"">WALKFORWARD.md</a>) — no measurable
edge — and the page says so.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep {L} exactly as written; keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
faq.keep.q,Does troid keep my conversation with ask troid?,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
faq.keep.p,"Yes, for 30 days. Each conversation is kept under a random session ID, shown under the
message box, and deleted automatically 30 days after its last message. troid keeps your messages,
ask troid's replies, the tools it used with their inputs and results, the rule sources and read
dates it cited, the page's language and the AI model used; never your IP address, your browser's
user agent, your name or an account. It keeps them to answer disputes about what ask troid said,
to correct errors, to check that ask troid keeps to its guardrails, and to learn which questions
come up most so troid can improve its pages and answers: once a week it counts them by topic,
never quoting a message. Only troid's operator can read the stored conversations. Each message is sent to Anthropic to generate the
answer, under Anthropic's API terms. They are never sold and never used for marketing or to train an AI model. To
delete a conversation sooner, use &ldquo;delete this conversation&rdquo; under the message box, or write to
<a href=""mailto:hello@troid.ai"">hello@troid.ai</a> with the session ID. <a href=""{L}/terms#ask-troid"">Section 10 of troid's terms</a> has the detail.",,,"NEW: translate it in reviewer_edit | keep {L} exactly as written; keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
faq.track.q,Does troid track me?,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
faq.track.p,"No. troid sets no cookies and runs no analytics. The moving price tape at the top of each page is
TradingView's: your browser loads it from TradingView's servers, which see your IP address and the page
it sits on. <a href=""https://www.tradingview.com/privacy-policy/"">TradingView's privacy policy</a> covers that connection. With your device set to reduce motion,
the tape isn't loaded unless you press play; pausing it takes it off the page.",,,"NEW: translate it in reviewer_edit | keep the <…> tags and links as they are; translate only the words; troid stays lowercase, in Latin letters"
faq.fill.q,Can troid fill in the price?,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
faq.fill.p,"For crypto, yes — tap ""use"" under Entry. The price there is the asset's spot price from Binance.US, asked about
every 15 seconds and marked ""delayed"" once it is over a minute old. A symbol tapped on the tape at the top of the page
opens the desk with that asset selected. Not for gold, oil or stocks at this time; type the price from the tape. Their
prices there are TradingView's, inside its own frame, and troid can't read them. A stock no compared firm offers, like
NVDA, opens the desk but can't be sized, because there are no firm rules to size it against. troid never fills in a
stop: the stop, the size and the trade stay yours.",,,"NEW: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
faq.worth.p1,"troid doesn't answer that for anyone; it prices what you bring. The arithmetic is the same for every
reader: a trader who cannot state an edge, an average win-to-loss ratio, and the losing streak their
sizing survives will find those out from a challenge ({fee} for {firm}'s {quota} {product}, read {date}) faster than from a
spreadsheet at no cost.
The base rates on this page are the rest of it.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep {date} {fee} {firm} {product} {quota} exactly as written; troid stays lowercase, in Latin letters"
terms.og.title,troid — terms of use,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
terms.og.description,"A free informational tool, not advice. Verify every number with the firm before trading.",,,NEW: translate it in reviewer_edit | 
terms.draft,Effective {date}.,,,ENGLISH CHANGED: translate it in reviewer_edit | keep {date} exactly as written
chat.og.title,ask troid,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.og.description,"troid's rule data with each rule's source and read date, arithmetic through tools. Not financial advice.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.session.line,Session {id} — quote this if you contact troid about this conversation.,,,"NEW: translate it in reviewer_edit | keep {id} exactly as written; troid stays lowercase, in Latin letters"
chat.session.copy,copy,,,NEW: translate it in reviewer_edit | 
chat.session.delete,delete this conversation,,,NEW: translate it in reviewer_edit | 
chat.isnt.p,"A signal service, a firm recommendation, a memory of you, or a way to reach your account.
  troid keeps each conversation for 30 days after its last message, under the session ID shown
  under the message box, then deletes it automatically: your messages, ask troid's replies, the
  tools used and the sources cited. Never your IP address, your browser, your name or an account.
  Once a week troid counts which topics come up most, never quoting anyone.
  Only troid's operator can read the stored conversations; they are never sold and never used for marketing or
  to train a model. To answer, troid sends each message, with the conversation so far, to Anthropic, the company
  that provides the AI model, under Anthropic's API terms; Anthropic may keep it for a limited period. The hosting provider keeps
  its own request logs, which can include your IP address. About 20 messages an hour per address.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
chat.js.status_off,ask troid is switched off at the moment. troid's desk on the front page does the arithmetic.,,,"ENGLISH CHANGED: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.js.copied,copied,,,NEW: translate it in reviewer_edit | 
chat.js.deleted,Deleted: troid no longer keeps this conversation. A new session has started.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.js.delete_none,Nothing is kept for this session yet.,,,NEW: translate it in reviewer_edit | 
chat.js.delete_failed,It could not be deleted just now. Write to hello@troid.ai with the session ID and troid will delete it.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
chat.js.delete_wait,Deleting once the answer on its way arrives…,,,NEW: translate it in reviewer_edit | 
ask.disclosure,"This is ask troid, an automated assistant. It is not a person and not financial advice. It answers from each firm's own published rules and computed math, and shows the source — or says when a source isn't recorded yet. Verify with the firm before acting. Conversations are kept for 30 days under the session ID shown below, then deleted automatically. troid counts which topics come up most, never quoting them. Don't share personal information here.",,,"ENGLISH CHANGED: translate it in reviewer_edit | keep every number exactly; troid stays lowercase, in Latin letters"
ask.err.switched_off,ask troid is switched off at the moment.,,,"ENGLISH CHANGED: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.err.session,This conversation has no valid session ID. Reloading the page starts a new one.,,,NEW: translate it in reviewer_edit | 
ask.sources,"Sources, each with the date troid read it:",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.tier.derived,Tier: the figures above are DERIVED — troid's tools computed them from the rules listed.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.tier.sourced,Tier: the rules above are SOURCED — read from the documents listed.,,,NEW: translate it in reviewer_edit | 
ask.tier.inputs,Tier: the figures above are DERIVED — troid's tools computed them from the numbers given; no firm rule was needed.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.tier.inputs_quoted,"Tier: the figures above are DERIVED — troid's tools computed them from the numbers given; each firm rule quoted beside them is SOURCED, with the date troid read it.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.tier.modelled,"Tier: troid's Monte Carlo figures above are MODELLED — a simulation, true under the assumptions stated beside them only; any other figure is DERIVED — troid's tools computed it.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
ask.assumed,"troid's assumptions, not the firm's rules: {list}.",,,"NEW: translate it in reviewer_edit | keep {list} exactly as written; troid stays lowercase, in Latin letters"
ask.support_step5,"The firm's own dashboard is the record of what happened on the account. For a person rather than this assistant, write to hello@troid.ai.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.tape_hint,tap a symbol on the tape to open it here,,,NEW: translate it in reviewer_edit | 
desk2.card.account,your account,,,NEW: translate it in reviewer_edit | 
desk2.card.trade,your trade,,,NEW: translate it in reviewer_edit | 
desk2.card.risk,your risk,,,NEW: translate it in reviewer_edit | 
desk2.card.error,check this step,,,NEW: translate it in reviewer_edit | 
desk2.asset,Asset,,,NEW: translate it in reviewer_edit | 
desk2.group.crypto,Crypto,,,NEW: translate it in reviewer_edit | 
desk2.group.commodities,Commodities,,,NEW: translate it in reviewer_edit | 
desk2.group.stocks,Stocks,,,NEW: translate it in reviewer_edit | 
desk2.js.sum_account,{firm} · {product} · {quota} · equity {eq},,,NEW: translate it in reviewer_edit | keep {eq} {firm} {product} {quota} exactly as written
desk2.js.sum_trade,{asset} · {side} · {entry} → {stop} · {r}R,,,NEW: translate it in reviewer_edit | keep {asset} {entry} {r} {side} {stop} exactly as written
desk2.js.sum_trade_nostop,{asset} · {side} · {entry} · no stop yet,,,NEW: translate it in reviewer_edit | keep {asset} {entry} {side} exactly as written
desk2.js.sum_risk,{rp}% · cap {cp}% · {lev}× {mode},,,NEW: translate it in reviewer_edit | keep {cp} {lev} {mode} {rp} exactly as written
desk2.js.hold_days,"Hold limit at {firm}: {days} days for {asset}, one of its {tier} ({source}, read {date}).",,,NEW: translate it in reviewer_edit | keep {asset} {date} {days} {firm} {source} {tier} exactly as written
desk2.js.hold_none_src,Hold limit at {firm}: none stated in its {source} (read {date}).,,,NEW: translate it in reviewer_edit | keep {date} {firm} {source} exactly as written
desk2.js.hold_none,Hold limit at {firm}: none found in the pages troid has read.,,,"NEW: translate it in reviewer_edit | keep {firm} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.avail_listed,"{firm} lists {asset} as “{as}” ({source}, read {date}).",,,NEW: translate it in reviewer_edit | keep {asset} {as} {date} {firm} {source} exactly as written
desk2.js.avail_not,{asset} isn't on the {firm} pages troid has read.,,,"NEW: translate it in reviewer_edit | keep {asset} {firm} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.avail_unnamed,"{firm} names its symbols only inside its platform, which troid doesn't read ({source}, read {date}).",,,"NEW: translate it in reviewer_edit | keep {date} {firm} {source} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.avail_others,Listed by {firms}.,,,NEW: translate it in reviewer_edit | keep {firms} exactly as written
desk2.js.tape_only,"{sym} is on the tape as market context. None of troid's firms lists it on the pages troid has read, so the desk can't size it against a firm's rules.",,,"NEW: translate it in reviewer_edit | keep {sym} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.tape_miss,troid couldn't read the tapped symbol — choose the asset here.,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.js.chip_live,live {price} · use,,,NEW: translate it in reviewer_edit | keep {price} exactly as written
desk2.js.chip_delayed,delayed {price} · use,,,NEW: translate it in reviewer_edit | keep {price} exactly as written
desk2.js.chip_aria,"Use {asset} at {price}, spot on {source}, as your entry",,,NEW: translate it in reviewer_edit | keep {asset} {price} {source} exactly as written
desk2.js.chip_manual,Enter your price — live quotes on the tape above,,,NEW: translate it in reviewer_edit | 
desk2.js.set_tag,Set your stop,,,NEW: translate it in reviewer_edit | 
desk2.js.set_sent,"troid sizes a trade from its stop. Enter the price where you'd close to cap the loss: below your entry for a long, above it for a short.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.js.set_cleared,"Your new entry left the old stop on the wrong side or more than 25% away, so it was cleared.",,,NEW: translate it in reviewer_edit | keep every number exactly
desk2.js.g_quota,quota,,,NEW: translate it in reviewer_edit | 
desk2.js.g_equity,equity,,,NEW: translate it in reviewer_edit | 
desk2.js.g_daily,daily floor,,,NEW: translate it in reviewer_edit | 
desk2.js.g_room,room,,,NEW: translate it in reviewer_edit | 
desk2.js.g_line,room {room} before the {bind} · this trade risks {risk},,,NEW: translate it in reviewer_edit | keep {bind} {risk} {room} exactly as written
desk2.js.g_line_set,room {room} before the {bind} · set your stop to size a trade,,,NEW: translate it in reviewer_edit | keep {bind} {room} exactly as written
desk2.js.g_line_block,can't be sized: {reason},,,NEW: translate it in reviewer_edit | keep {reason} exactly as written
desk2.js.g_line_pending,this product's floors aren't recorded yet,,,NEW: translate it in reviewer_edit | 
desk2.js.g_aria,Account gauge. Equity {eq}. {floors}. {line}.,,,NEW: translate it in reviewer_edit | keep {eq} {floors} {line} exactly as written
desk2.js.l_head,"adverse move from entry, first to trigger on top",,,NEW: translate it in reviewer_edit | 
desk2.js.l_off,"→ {pct}, off-scale",,,NEW: translate it in reviewer_edit | keep {pct} exactly as written
desk2.js.l_before,before your stop,,,NEW: translate it in reviewer_edit | 
desk2.js.f_price,price move {x},,,NEW: translate it in reviewer_edit | keep {x} exactly as written
desk2.js.f_fees,fees {x} · {share} of risk,,,NEW: translate it in reviewer_edit | keep {share} {x} exactly as written
desk2.js.f_aria,"Risk {risk}: price move {price}, fees {fees}, {share} of risk.",,,NEW: translate it in reviewer_edit | keep {fees} {price} {risk} {share} exactly as written
desk2.js.x_title,How troid computed this,,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.js.x_lede,"The same numbers as the desk above, one step at a time. Change an input and these change with it.",,,NEW: translate it in reviewer_edit | 
desk2.js.x1_h,Two floors,,,NEW: translate it in reviewer_edit | 
desk2.js.x1_p,"The firm fails the account the moment equity touches either of two floors: the daily floor, reset every trading day, and the max-loss floor.",,,NEW: translate it in reviewer_edit | 
desk2.js.x2_h,The one that binds,,,NEW: translate it in reviewer_edit | 
desk2.js.x2_p,Whichever floor is nearer binds. The dollars between your equity and it are your room: everything a run of losses can spend.,,,NEW: translate it in reviewer_edit | 
desk2.js.x3_h,The crossover,,,NEW: translate it in reviewer_edit | 
desk2.js.x3_p,"On {product}, on a fresh day, the two floors swap at one equity: above it the daily floor binds, below it the max-loss floor does.",,,NEW: translate it in reviewer_edit | keep {product} exactly as written
desk2.js.x3_none,"On {product} the floors move with your balance, so they don't swap at one fixed equity.",,,NEW: translate it in reviewer_edit | keep {product} exactly as written
desk2.js.x4_h,What one trade may risk,,,NEW: translate it in reviewer_edit | 
desk2.js.x4_p,"Your risk % of equity, cut to troid's cap: at most that share of the room left. After losses the room shrinks, and each trade with it.",,,"NEW: translate it in reviewer_edit | troid stays lowercase, in Latin letters"
desk2.js.x5_h,"Size, net of fees",,,NEW: translate it in reviewer_edit | 
desk2.js.x5_p,"Fees are paid on the whole position, in and out, so they come out of the same risk. The tighter the stop, the bigger their share.",,,NEW: translate it in reviewer_edit | 
desk2.js.x6_h,Why leverage doesn't change the loss,,,NEW: translate it in reviewer_edit | 
desk2.js.x6_p,The loss at the stop is size × stop distance: leverage isn't in it. Leverage sets how much margin the position ties up.,,,NEW: translate it in reviewer_edit | 
desk2.js.x6_code,at 1× the margin would be {notional}; at {lev}× it is {margin}; the loss at the stop is {risk} either way,,,NEW: translate it in reviewer_edit | keep {lev} {margin} {notional} {risk} exactly as written; keep every number exactly
desk2.js.x_wait,Enter your entry and stop above to see the rest.,,,NEW: translate it in reviewer_edit | 
desk2.price_ph,0.00,,,NEW: translate it in reviewer_edit | keep every number exactly
desk2.js.empty,Enter your entry and stop to size a trade.,,,NEW: translate it in reviewer_edit | 
desk2.js.sum_trade_empty,{asset} · {side} · no entry yet,,,NEW: translate it in reviewer_edit | keep {asset} {side} exactly as written
desk2.js.g_line_empty,room {room} before the {bind},,,NEW: translate it in reviewer_edit | keep {bind} {room} exactly as written
desk2.js.chip_sel,{asset} selected,,,NEW: translate it in reviewer_edit | keep {asset} exactly as written
desk2.js.chip_no_fill,Live fill isn't available for {asset} — enter your price from the tape above.,,,NEW: translate it in reviewer_edit | keep {asset} exactly as written
desk2.js.x_wait_block,Fix the step the desk flags above to see the rest.,,,NEW: translate it in reviewer_edit | 
desk2.js.tape_opt,{sym} · not offered by troid's firms,,,"NEW: translate it in reviewer_edit | keep {sym} exactly as written; troid stays lowercase, in Latin letters"
desk2.js.tape_none,"No compared firm offers {sym}, so there are no firm rules to size it against. Choose an asset from the list to size a trade.",,,NEW: translate it in reviewer_edit | keep {sym} exactly as written
desk2.js.x_wait_none,Choose an asset from the list to see the rest.,,,NEW: translate it in reviewer_edit | 
sources.tier.onefunded_failures,"SOURCED · OneFunded's own platform data, in its post “The Most Common Reasons Why Traders Fail Prop Firm Challenges”, published {published} (updated {updated}), read {read}. One firm's self-reported figures, not independently audited; the post gives no number of accounts or period. 93.7% is troid's sum of its 78.7% and 15.0%. <a href=""{L}/sources#onefunded_failures"">Sources</a>",,,"NEW: translate it in reviewer_edit | keep {L} {published} {read} {updated} exactly as written; keep the <…> tags and links as they are; translate only the words; keep every number exactly; troid stays lowercase, in Latin letters"
